Index,mag,re_arc,nser,ba,ellip,re_pix,PA
47.0,20.282167,0.17987736,3.2219188,0.34963858,0.6503614,2.997956,48.627457
48.0,20.936205,0.47230485,1.6621875,0.28292415,0.7170758,7.8717475,44.74748
49.0,22.688631,0.57972866,1.5200844,0.32411078,0.67588925,9.662145,27.878431
50.0,21.132902,0.16509071,5.043425,0.48323044,0.5167695,2.7515118,16.205498
51.0,20.752483,0.37468186,4.6987233,0.797554,0.202446,6.2446976,63.77413
52.0,20.09491,0.2301127,3.1618478,0.649593,0.35040697,3.8352115,79.86242
53.0,21.14199,0.16517964,2.2048705,0.3774582,0.6225418,2.7529938,24.5985
54.0,22.485199,0.23976237,2.2464645,0.6258425,0.37415746,3.9960394,50.95308
55.0,21.712692,0.32794455,2.3708503,0.37441957,0.62558043,5.4657426,155.7151
56.0,21.38687,0.71980435,5.8273396,0.44214895,0.557851,11.996739,175.55109
57.0,22.85261,0.13568003,0.8148223,0.6839372,0.3160628,2.261334,62.648132
58.0,22.237902,0.22340846,3.9034712,0.7496913,0.2503087,3.7234745,85.75065
59.0,22.146341,0.18825237,3.8753736,0.43878984,0.56121016,3.1375396,16.473248
60.0,21.931597,0.5555544,0.5715328,0.7655394,0.23446058,9.25924,3.4113965
61.0,21.89427,0.09588161,5.806361,0.65690506,0.34309494,1.5980269,58.703953
62.0,21.961193,1.5303575,3.044104,0.3610592,0.6389408,25.505957,104.09261
63.0,20.485573,1.3444877,1.4449067,0.35070345,0.6492965,22.408127,89.41497
64.0,21.08848,0.20470266,0.45803434,0.21835873,0.7816413,3.411711,54.13137
65.0,22.613194,0.28898448,4.3219237,0.41388643,0.5861136,4.816408,60.989563
66.0,21.55717,0.63433594,3.7917948,0.6239878,0.37601224,10.572265,64.74292
67.0,20.656593,0.6910619,2.5161653,0.5757046,0.42429543,11.517699,106.15906
68.0,20.045597,1.1381143,3.026474,0.2867865,0.7132135,18.968573,123.121315
69.0,21.342316,0.14892846,1.3145874,0.5654545,0.4345455,2.482141,38.94713
70.0,22.078114,1.0628841,4.707443,0.2560443,0.74395573,17.714735,64.81796
71.0,20.570133,1.5236244,1.7531464,0.3414412,0.6585588,25.393742,55.812008
72.0,21.680096,0.23888476,6.125118,0.2713115,0.72868854,3.9814126,65.66298
73.0,21.77786,0.18411534,5.942561,0.20680904,0.79319096,3.068589,124.019936
74.0,22.935007,1.1430261,5.9487686,0.31400505,0.685995,19.050436,164.96657
75.0,21.722963,0.24117291,5.1557136,0.5023935,0.49760655,4.0195484,49.525223
76.0,21.58074,0.13856818,5.3685946,0.52363,0.47636998,2.3094697,84.39823
77.0,21.291113,0.5115347,5.260638,0.5373699,0.46263006,8.5255785,153.09578
78.0,20.862137,0.17933322,0.84517825,0.5195575,0.48044255,2.988887,35.234142
79.0,21.971815,0.885103,0.6158007,0.22185062,0.77814937,14.751717,148.91406
80.0,22.008162,0.6820012,6.1516953,0.47848406,0.5215159,11.366686,79.5148
81.0,21.7726,0.6698743,4.027403,0.3734462,0.62655383,11.164572,55.01399
82.0,20.282398,0.19906583,0.6533622,0.30191952,0.6980805,3.3177638,12.993414
83.0,21.022045,0.2857339,1.3575178,0.76044136,0.23955862,4.762232,6.199276
84.0,22.157833,0.17512314,5.0428967,0.70147824,0.29852176,2.918719,89.38199
85.0,22.565107,0.142636,1.6312656,0.5912626,0.4087374,2.3772666,149.7079
86.0,20.017992,0.50998384,3.0353448,0.2990609,0.7009391,8.49973,35.545464
87.0,22.344034,0.79654485,1.8504223,0.5120434,0.48795658,13.275747,84.02011
88.0,21.598574,0.9023746,3.523337,0.7986859,0.20131409,15.0395775,50.81581
89.0,21.42348,0.81407416,1.6592541,0.3394563,0.66054374,13.567903,61.1306
90.0,22.859827,0.21852952,2.2081718,0.42454657,0.5754534,3.6421587,7.4617
91.0,22.76706,0.15317664,0.92907196,0.4674152,0.5325848,2.552944,167.10977
92.0,20.672815,0.5794202,1.8636856,0.7984071,0.20159294,9.657003,101.35326
93.0,20.471956,0.14617926,5.806179,0.77200055,0.22799946,2.436321,51.801323
94.0,21.554586,1.0840461,3.708241,0.78145194,0.21854804,18.067434,22.39735
95.0,22.610445,0.91897684,1.2895598,0.7082612,0.2917388,15.31628,176.05894
96.0,22.495832,0.6067222,1.1453552,0.4906838,0.5093162,10.112037,178.34384
97.0,21.054512,0.5124013,2.97689,0.70917296,0.29082707,8.540022,10.123339
98.0,22.077724,0.48635027,4.8160877,0.36673227,0.6332677,8.105838,157.08199
99.0,20.558758,0.16122253,3.3410492,0.49671343,0.50328654,2.6870422,97.74193
100.0,22.742943,0.13488959,1.9016123,0.6010322,0.39896783,2.24816,108.82198
101.0,22.689678,1.5021187,5.9212866,0.44178617,0.55821383,25.035313,105.339584
102.0,21.989246,0.32643026,4.047986,0.36032453,0.63967544,5.4405046,82.00219
103.0,20.451612,0.51552576,5.8695645,0.50733757,0.4926624,8.592096,91.608635
104.0,22.507435,0.2886818,0.5789743,0.31886747,0.6811325,4.811363,148.6498
105.0,21.305395,0.39325446,5.702436,0.28587964,0.7141204,6.554241,174.94803
106.0,21.942518,1.5768903,4.099865,0.4739849,0.5260151,26.281506,93.23523
107.0,20.027748,0.27450302,2.6106176,0.34442937,0.6555706,4.5750504,134.59863
108.0,22.845112,0.14483394,6.018624,0.29822192,0.7017781,2.413899,32.250107
109.0,22.462236,1.5921142,1.0145231,0.31226674,0.6877333,26.535236,78.462364
110.0,21.658169,0.24135649,5.088863,0.36051488,0.6394851,4.0226083,151.87082
111.0,20.044647,0.74932265,2.683518,0.56922114,0.4307789,12.48871,139.78053
112.0,22.264114,0.92357105,3.8955977,0.50743973,0.49256024,15.392851,73.726326
113.0,20.061323,0.40520304,5.4462867,0.3324896,0.6675104,6.753384,75.68375
114.0,20.932463,0.12975496,6.0965953,0.49525094,0.50474906,2.1625826,119.32266
115.0,22.961607,1.4238651,4.036926,0.4128496,0.5871504,23.731085,62.51185
116.0,20.777027,0.28687805,1.8565383,0.51279837,0.48720166,4.7813005,151.3273
117.0,22.768684,0.13011928,1.8275925,0.7067335,0.29326648,2.1686547,113.38459
118.0,20.631468,0.13819857,0.33725297,0.6602958,0.33970425,2.3033094,151.10013
119.0,22.685131,0.4815875,4.5840898,0.47105607,0.5289439,8.026458,140.69786
120.0,22.018332,0.457317,5.3140254,0.6193751,0.3806249,7.6219497,62.665497
121.0,20.715115,0.863163,1.2249697,0.7309267,0.26907334,14.38605,44.639114
122.0,22.129158,1.088573,1.6608404,0.43663496,0.56336504,18.142883,109.86168
123.0,22.604134,1.0637084,3.7837527,0.4110034,0.5889966,17.728474,6.0271783
124.0,20.264473,0.21601945,5.0024705,0.6728478,0.32715216,3.6003242,37.341717
125.0,22.706345,0.14469111,5.4325905,0.4653456,0.5346544,2.4115186,174.95164
126.0,21.110722,0.4847511,1.3921411,0.5516399,0.4483601,8.0791855,149.47461
127.0,20.77543,1.249375,3.7578905,0.28377458,0.7162254,20.822916,56.66967
128.0,22.948147,0.2894797,1.0033365,0.4073881,0.5926119,4.8246617,75.30595
129.0,20.566948,0.8835166,3.496606,0.21054582,0.78945416,14.725276,27.014633
130.0,22.298857,0.62253654,4.4717197,0.29349393,0.7065061,10.375609,70.89145
131.0,20.746618,0.1064435,4.9674716,0.3551402,0.6448598,1.7740583,106.594574
132.0,20.023943,0.69832087,3.2776918,0.78677547,0.21322453,11.638681,84.28386
133.0,20.587954,0.21366693,4.9883633,0.62083614,0.37916386,3.5611155,171.05734
134.0,20.119421,0.6151691,5.447316,0.5139898,0.48601016,10.252818,122.287094
135.0,21.63038,0.3214795,3.5981054,0.3446825,0.6553175,5.3579917,49.824993
136.0,22.303131,0.304221,4.146409,0.615094,0.38490596,5.07035,116.32388
137.0,22.87337,0.9498045,3.4940264,0.45890182,0.5410982,15.830075,106.78256
138.0,20.0499,1.1844124,3.263287,0.40945816,0.59054184,19.740206,108.72091
139.0,20.601461,0.23925436,0.6332923,0.344311,0.655689,3.9875727,135.96518
140.0,22.60106,1.1133624,5.439315,0.21952747,0.7804725,18.55604,18.178995
141.0,21.07057,0.21100597,3.7975428,0.55831003,0.44168997,3.516766,79.05003
142.0,21.427416,0.31190333,0.83555305,0.38026989,0.6197301,5.198389,169.43977
143.0,21.658691,0.3808794,3.5568469,0.42025998,0.57974005,6.34799,161.77931
144.0,21.366335,0.18308274,5.269209,0.5046749,0.4953251,3.051379,121.91078
145.0,22.325377,0.782048,4.573315,0.28560153,0.71439844,13.034133,20.595812
146.0,20.838161,1.2272391,1.435663,0.29282257,0.70717746,20.453985,109.96023
147.0,22.25576,0.24020198,0.8993189,0.40359506,0.5964049,4.0033665,24.435087
148.0,22.747766,0.25032073,2.606637,0.6620795,0.33792046,4.1720123,159.07918
149.0,20.930231,0.21736054,3.833471,0.29572353,0.70427644,3.6226757,135.64496
150.0,21.125843,0.2662453,4.488581,0.5501499,0.44985008,4.437422,76.06828
151.0,20.336893,0.26187894,1.5825571,0.39365512,0.6063449,4.364649,50.49301
152.0,22.73539,0.8489029,6.1610923,0.5583822,0.4416178,14.148381,47.08035
153.0,20.078592,0.13225478,4.1014295,0.23861961,0.7613804,2.2042463,151.6753
154.0,20.038155,0.7169231,1.157581,0.29172853,0.70827144,11.948718,115.08826
155.0,20.965591,0.1386144,6.1525545,0.5071481,0.4928519,2.31024,102.71416
156.0,22.247522,0.24300872,5.3063893,0.54186434,0.4581357,4.050145,143.62384
157.0,21.995922,1.1883944,0.9391651,0.3854885,0.6145115,19.806572,171.6349
158.0,21.549328,0.18908232,4.329223,0.52392524,0.47607478,3.1513722,4.706081
159.0,22.408504,0.6191911,4.190356,0.66807306,0.33192697,10.319852,159.14429
160.0,20.022097,0.118072614,5.2941656,0.62206894,0.37793103,1.9678769,166.25244
161.0,22.215948,0.64358926,1.6417352,0.37587565,0.62412435,10.726488,107.49904
162.0,22.276648,1.2699091,4.705126,0.2203203,0.7796797,21.165152,156.83803
163.0,22.316135,0.46280113,2.8097115,0.39102036,0.60897964,7.713352,77.790436
164.0,20.987415,0.62181187,4.157579,0.40716836,0.5928316,10.363531,26.0919
165.0,21.761705,0.54043853,5.7708335,0.40332812,0.5966719,9.007309,101.62562
166.0,22.880959,0.615448,5.18349,0.48031855,0.51968145,10.257466,46.808434
167.0,21.569818,0.11457181,5.618392,0.24272786,0.7572721,1.9095302,171.82434
168.0,21.525805,0.12729216,2.871364,0.412483,0.58751696,2.121536,98.93986
169.0,21.145166,1.0387973,5.223853,0.582803,0.417197,17.313288,85.31573
170.0,21.203966,1.0003368,3.7392206,0.35941693,0.6405831,16.67228,165.24422
171.0,20.591244,0.19810481,2.1252828,0.5356252,0.46437478,3.3017468,8.672164
172.0,22.357454,0.59337133,2.8881114,0.6438378,0.35616216,9.889522,158.52849
173.0,21.553848,0.76631355,5.0368724,0.3819396,0.6180604,12.771893,65.5351
174.0,21.247915,0.3476901,3.8650777,0.39468592,0.6053141,5.794835,114.52146
175.0,21.163387,0.25120547,4.9870453,0.6568209,0.34317914,4.186758,168.45555
176.0,20.083252,0.19157556,2.7980678,0.20071557,0.7992844,3.192926,96.456985
177.0,22.422901,0.6972631,4.542266,0.66986,0.33014,11.621052,112.50346
178.0,20.931242,0.22747862,4.247558,0.6108141,0.3891859,3.7913105,127.28006
179.0,20.610294,0.3935313,2.3606281,0.7563,0.24370006,6.5588546,3.5354185
180.0,22.64801,0.19063227,1.4170799,0.4134754,0.5865246,3.1772044,146.30313
181.0,21.882807,0.102107756,5.592259,0.75158876,0.24841124,1.7017959,164.95111
182.0,20.30554,0.09545472,5.880359,0.7078608,0.29213917,1.590912,14.5479145
183.0,20.755049,1.0766444,5.7176723,0.5383377,0.46166232,17.944075,32.64621
184.0,21.518644,1.5958923,1.4399018,0.31537125,0.6846288,26.598206,58.976078
185.0,20.536915,0.13481703,2.2925465,0.7850734,0.21492657,2.2469506,161.30157
186.0,20.495438,0.115282066,2.994951,0.23100057,0.76899946,1.9213678,94.96454
187.0,22.362946,0.7929655,4.488367,0.40703836,0.59296167,13.216091,32.942154
188.0,21.855999,1.2246597,5.159821,0.21679877,0.7832012,20.410994,57.979565
189.0,22.804302,0.108315736,3.6708195,0.7632217,0.2367783,1.8052623,55.804302
190.0,21.333643,0.12144845,2.2778416,0.30045578,0.69954425,2.0241408,77.28
191.0,20.136951,0.27409157,2.6631112,0.7111888,0.28881118,4.5681925,106.33328
192.0,20.144697,0.31284824,3.5525138,0.26026556,0.7397344,5.214137,95.24859
193.0,22.318016,0.19215441,5.822037,0.6762835,0.32371652,3.2025733,108.3912
194.0,22.61672,0.33917585,1.9453013,0.7847078,0.21529225,5.6529307,19.25248
195.0,21.702644,0.8180298,5.005605,0.4179985,0.5820015,13.63383,47.058117
196.0,22.021664,1.39783,4.57163,0.72299045,0.27700958,23.297167,78.805664
197.0,20.149443,0.14456901,3.8335009,0.38600886,0.61399114,2.4094837,97.22819
198.0,20.456923,0.8461167,2.5910788,0.21092509,0.7890749,14.101946,100.69696
199.0,21.919106,0.09799688,5.8863783,0.7383239,0.26167607,1.6332814,43.498787
200.0,20.584146,0.42437768,5.2018533,0.5351618,0.4648382,7.0729613,65.61895
201.0,20.99598,0.9384581,1.5949163,0.6164329,0.38356712,15.640968,43.74882
202.0,21.88205,0.27295142,4.90706,0.32427093,0.6757291,4.5491905,15.410188
203.0,20.463915,0.12976906,2.0799067,0.45353952,0.5464605,2.1628177,141.4671
204.0,21.946657,0.100128144,5.7756605,0.21429726,0.78570276,1.6688024,154.33029
205.0,21.428818,0.78590435,5.797707,0.618512,0.38148805,13.098406,46.378033
206.0,22.42546,0.16710861,0.932849,0.21075939,0.7892406,2.7851434,41.347572
207.0,22.094444,0.6989221,1.9966595,0.24871427,0.75128573,11.648702,138.09355
208.0,20.379265,0.49906063,3.1328452,0.25972828,0.7402717,8.3176775,150.51375
209.0,20.325006,0.58399564,1.640058,0.33710754,0.66289246,9.73326,131.50952
210.0,20.703386,0.13924623,2.150651,0.22915557,0.7708444,2.3207703,121.824585
211.0,22.686533,0.64084285,3.8658624,0.33358112,0.6664189,10.680715,62.86136
212.0,21.816843,0.99280006,2.069513,0.29173467,0.70826536,16.546667,153.04395
213.0,22.086697,0.15788592,1.3182602,0.21698357,0.78301644,2.631432,90.19822
214.0,21.712477,0.6765093,2.8259723,0.688505,0.31149504,11.275155,50.595707
215.0,20.183475,1.2498417,2.0513282,0.29129794,0.708702,20.830696,86.669754
216.0,22.691162,0.21794488,5.000487,0.24681626,0.7531837,3.6324146,166.52925
217.0,20.96504,1.4341767,2.6638234,0.29206094,0.707939,23.902945,140.72685
218.0,22.502996,0.14072418,0.4680884,0.2306103,0.7693897,2.3454032,141.45091
219.0,22.820957,0.42162234,2.703184,0.51951635,0.48048362,7.027039,101.13163
220.0,21.878267,0.10630572,4.577089,0.57440454,0.42559546,1.771762,66.79094
221.0,20.211233,0.24689478,3.927173,0.76008135,0.23991863,4.114913,18.049707
222.0,22.827145,0.5554764,4.790789,0.33542597,0.664574,9.257941,48.57305
223.0,21.541372,0.5308571,1.9735769,0.28332025,0.71667975,8.847618,9.133875
224.0,20.45599,0.19762427,4.4560447,0.3974011,0.6025989,3.293738,174.59048
225.0,22.172077,0.12660915,6.175049,0.6234313,0.37656865,2.1101522,115.77283
226.0,20.860022,0.6430198,0.5265526,0.24491115,0.75508887,10.716996,150.30038
227.0,22.991625,0.3876359,2.1045482,0.51924515,0.48075485,6.460598,51.270737
228.0,20.421202,1.4835913,5.230697,0.5116994,0.4883006,24.726522,30.879623
229.0,21.159578,0.72106916,3.0200489,0.4457289,0.5542711,12.017819,68.50646
230.0,20.029974,0.40521082,2.0813494,0.26886576,0.73113424,6.7535133,7.066438
231.0,20.341911,0.3288327,2.746669,0.46105796,0.53894204,5.480545,111.880554
232.0,20.244812,1.2204597,3.752255,0.67317045,0.32682952,20.340994,90.60921
233.0,21.727509,0.51310927,4.4773,0.7101426,0.2898574,8.551821,32.30543
234.0,22.110212,0.24815372,1.7216222,0.55775374,0.44224623,4.1358953,43.449265
235.0,22.985254,0.76440835,2.4044685,0.71457934,0.28542066,12.740139,163.46606
236.0,20.17901,0.8495405,1.8704288,0.6910704,0.30892965,14.159008,47.43754
237.0,20.565834,1.2881927,2.0496724,0.2807287,0.7192713,21.46988,54.396297
238.0,20.259977,0.15292728,6.0099616,0.5620092,0.43799078,2.5487878,39.15771
239.0,22.535095,0.28872472,3.9200745,0.77389836,0.22610164,4.812079,130.31291
240.0,21.665148,0.17795137,1.0134645,0.66303843,0.33696154,2.9658563,53.63713
241.0,20.633696,0.10987775,5.956259,0.3633041,0.63669586,1.8312958,143.44034
242.0,21.876587,0.14259158,2.5773344,0.4794311,0.5205689,2.3765264,71.613495
243.0,22.743803,0.8342809,2.466397,0.64980465,0.35019538,13.904681,124.51119
244.0,20.803436,0.35613415,3.3241653,0.20088576,0.7991142,5.9355693,16.091373
245.0,22.447443,0.12308514,3.161708,0.46497875,0.53502125,2.051419,168.39357
246.0,22.162735,1.0274585,0.47188914,0.38567117,0.61432886,17.12431,71.48632
247.0,22.441181,1.0610479,1.4704049,0.62949234,0.3705077,17.684132,172.14519
248.0,20.782713,0.4016755,5.237465,0.35892048,0.64107955,6.6945915,20.016443
249.0,22.518694,0.14037383,3.9842176,0.43069583,0.56930417,2.3395638,135.49416
250.0,20.410856,0.25789523,5.360106,0.31212574,0.68787426,4.298254,26.638813
251.0,21.50277,0.7060459,5.0943656,0.7090765,0.29092345,11.767432,92.17792
252.0,22.295288,0.4581184,2.3573627,0.56945014,0.43054986,7.635307,33.06931
253.0,20.78804,0.8832423,0.6913509,0.45905864,0.54094136,14.720705,178.72964
254.0,22.57647,0.6761641,2.5182703,0.74842846,0.2515715,11.269402,78.89326
255.0,21.168867,0.12943636,2.973798,0.58707887,0.41292113,2.1572728,36.33154
256.0,21.624868,0.29454044,3.7968788,0.42245835,0.57754165,4.909007,90.53853
257.0,22.523842,0.1846944,4.7054543,0.42303178,0.5769682,3.07824,91.547035
258.0,22.731197,1.3483742,4.6000633,0.4086011,0.5913989,22.472904,71.139305
259.0,22.924414,0.30162275,2.219352,0.6659965,0.33400348,5.027046,65.3995
260.0,20.68597,1.4713808,3.4675932,0.21748759,0.7825124,24.523014,127.400055
261.0,22.81096,0.8495078,5.228195,0.7081728,0.2918272,14.1584635,85.76677
262.0,22.220175,0.68544626,0.30277288,0.61434495,0.38565508,11.424105,101.56235
263.0,22.909752,0.43462276,3.2157845,0.71851593,0.28148407,7.243713,1.2152174
264.0,21.801544,0.42053932,5.4542437,0.5374151,0.46258494,7.0089884,8.004387
265.0,20.281555,0.307028,3.085713,0.60303324,0.39696676,5.117133,23.758785
266.0,21.921429,0.3493043,4.7378745,0.75783974,0.24216029,5.8217382,14.238749
267.0,20.867897,0.27715513,3.722745,0.37857383,0.62142617,4.619252,115.61392
268.0,22.28272,1.216758,1.4590058,0.37369028,0.62630975,20.2793,114.74131
269.0,21.152737,1.2732689,4.1435432,0.37930802,0.620692,21.22115,165.26561
270.0,20.25139,0.48647207,0.529651,0.64122945,0.35877055,8.107868,27.741808
271.0,22.931047,1.1797276,5.440625,0.20747907,0.79252094,19.662127,69.49155
272.0,20.329372,0.336916,5.4809127,0.6304414,0.36955854,5.615267,114.08321
273.0,20.660368,0.75736713,3.9088323,0.40070847,0.5992915,12.622786,28.427614
274.0,21.883018,0.9232847,0.60201323,0.5259781,0.47402194,15.388079,119.73006
275.0,21.060286,0.12978886,1.3059648,0.68774277,0.3122572,2.1631477,139.12369
276.0,20.065506,0.58844393,1.3110373,0.4117244,0.5882756,9.807399,177.18799
277.0,22.847073,1.4636801,2.3568802,0.61997914,0.3800209,24.39467,99.219376
278.0,20.563179,1.270888,4.561308,0.31279,0.68721,21.181467,33.52768
279.0,22.574081,0.70331234,3.035903,0.38180003,0.61819994,11.721872,163.47314
280.0,20.929455,1.0769857,1.8920395,0.36694404,0.633056,17.949762,56.155815
281.0,22.139576,0.9386662,2.8975794,0.57017577,0.42982423,15.644437,126.325554
282.0,21.980366,0.8023737,1.454728,0.4765302,0.5234698,13.372895,83.113266
283.0,22.32592,0.13717179,2.370597,0.6835348,0.31646523,2.2861965,49.916454
284.0,22.737152,0.19774717,3.3506799,0.40166992,0.5983301,3.2957861,158.29364
285.0,20.15676,1.528297,4.770262,0.7382536,0.2617464,25.471617,111.53027
286.0,20.055517,0.34387907,4.7794704,0.79004306,0.20995694,5.7313175,61.455025
287.0,21.350733,1.3829777,1.6778343,0.3865451,0.6134549,23.049627,21.22627
288.0,21.512306,0.24009986,4.099159,0.2660254,0.7339746,4.0016646,107.52852
289.0,21.108194,1.4881953,1.3998833,0.2388403,0.7611597,24.803255,100.06322
290.0,21.892063,0.26208416,1.784573,0.6401315,0.35986853,4.368069,105.11581
291.0,22.788279,0.96644384,4.111928,0.23254277,0.76745725,16.107397,102.162704
292.0,22.721413,0.56005675,2.2026424,0.54507387,0.45492616,9.33428,121.02115
293.0,21.04275,0.922783,4.9599767,0.54034275,0.45965725,15.379717,167.03589
294.0,21.245115,0.6000113,1.9244236,0.4384582,0.5615418,10.000189,38.41057
295.0,20.761091,0.8869598,3.400122,0.29216245,0.7078376,14.782663,158.65494
296.0,22.805588,1.6445498,1.14119,0.73031414,0.26968583,27.409164,139.94844
297.0,21.865473,0.3490562,4.230023,0.6183752,0.38162482,5.8176036,142.09859
298.0,22.988132,0.27998903,3.6947916,0.7277815,0.27221856,4.666484,63.032074
299.0,21.600513,1.8370703,0.3820416,0.39178294,0.60821706,30.617838,44.047928
300.0,20.763603,0.23995286,5.3239136,0.6707725,0.3292275,3.9992142,158.16313
301.0,22.451946,0.2565015,0.8087229,0.23431794,0.76568204,4.275025,159.55548
302.0,20.442896,0.10597335,4.3507004,0.6067408,0.3932592,1.7662225,27.11218
303.0,20.872593,0.16739768,5.3022137,0.56760377,0.43239623,2.7899613,35.431633
304.0,21.593733,0.6747955,4.171879,0.77510244,0.22489753,11.246592,58.571247
305.0,21.590391,0.52986205,5.2381525,0.78407526,0.21592475,8.831035,24.449253
306.0,21.084513,0.55015904,4.9331665,0.21300383,0.7869962,9.169317,157.75276
307.0,22.856892,1.6389512,0.59644014,0.60212505,0.39787492,27.315853,87.726074
308.0,20.050749,0.7791739,3.6374712,0.40906414,0.5909359,12.986232,125.14157
309.0,21.291824,1.148869,3.543442,0.47167918,0.5283208,19.147816,95.12807
310.0,22.70649,0.24818128,4.9078465,0.45570832,0.5442917,4.1363544,95.328865
311.0,22.588081,1.5331575,0.8290374,0.6398883,0.3601117,25.552624,153.63808
312.0,22.98778,0.28845346,4.141639,0.7326563,0.26734367,4.8075576,34.59824
313.0,21.633606,0.6730024,2.8890002,0.46176866,0.5382313,11.216707,156.93863
314.0,22.202095,1.5546168,0.45441815,0.43033457,0.56966543,25.91028,77.28053
315.0,21.197493,0.27015865,3.318302,0.25011235,0.74988765,4.502644,159.09875
316.0,22.693983,0.24896283,2.75423,0.37530494,0.62469506,4.1493807,14.821925
317.0,21.42477,0.95532197,1.7726429,0.5567997,0.4432003,15.922032,142.10533
318.0,22.690937,0.30431646,4.2416053,0.54817754,0.4518225,5.071941,18.530708
319.0,22.07194,0.1787278,2.3226364,0.6340584,0.36594158,2.9787967,136.10143
320.0,21.876614,0.37684304,4.55144,0.32282612,0.6771739,6.280717,172.85512
321.0,20.602465,1.0848458,4.9200115,0.63425094,0.36574906,18.080763,150.24413
322.0,22.8152,0.2768528,4.998036,0.61273986,0.3872601,4.614213,96.07211
323.0,21.967928,0.20535617,0.48979285,0.4074551,0.5925449,3.422603,105.91182
324.0,21.696367,0.6836029,3.6971064,0.69031805,0.30968195,11.393382,120.98174
